Direction,Timestamp,Hash
OUT,1556130776902,sync-worker-3-1
IN,1556130776902,sync-worker-2-1
IN,1556130776902,sync-worker-3-1
OUT,1556130777004,sync-worker-3-2
IN,1556130777005,sync-worker-2-2
OUT,1556130777101,sync-worker-3-3
IN,1556130777102,sync-worker-1-3
OUT,1556130777201,sync-worker-3-4
IN,1556130777201,sync-worker-3-4
IN,1556130777201,sync-worker-1-4
IN,1556130777294,sync-worker-2-5
OUT,1556130777300,sync-worker-3-5
IN,1556130777300,sync-worker-3-5
IN,1556130777392,sync-worker-2-6
OUT,1556130777397,sync-worker-3-6
IN,1556130777398,sync-worker-1-6
IN,1556130777494,sync-worker-2-7
OUT,1556130777497,sync-worker-3-7
IN,1556130777497,sync-worker-3-7
IN,1556130777497,sync-worker-1-7
IN,1556130777590,sync-worker-2-8
OUT,1556130777595,sync-worker-3-8
IN,1556130777596,sync-worker-3-8
IN,1556130777596,sync-worker-1-8
IN,1556130777691,sync-worker-2-9
OUT,1556130777695,sync-worker-3-9
IN,1556130777696,sync-worker-3-9
IN,1556130777696,sync-worker-1-9
IN,1556130777788,sync-worker-2-10
OUT,1556130777795,sync-worker-3-10
IN,1556130777795,sync-worker-3-10
IN,1556130777882,sync-worker-2-11
OUT,1556130777893,sync-worker-3-11
IN,1556130777893,sync-worker-1-11
IN,1556130777893,sync-worker-3-11
IN,1556130777983,sync-worker-2-12
OUT,1556130777993,sync-worker-3-12
IN,1556130777993,sync-worker-1-12
IN,1556130777994,sync-worker-3-12
IN,1556130778078,sync-worker-2-13
OUT,1556130778094,sync-worker-3-13
IN,1556130778094,sync-worker-1-13
IN,1556130778178,sync-worker-2-14
OUT,1556130778189,sync-worker-3-14
IN,1556130778189,sync-worker-1-14
IN,1556130778189,sync-worker-3-14
IN,1556130778278,sync-worker-2-15
OUT,1556130778290,sync-worker-3-15
IN,1556130778290,sync-worker-1-15
IN,1556130778374,sync-worker-2-16
OUT,1556130778388,sync-worker-3-16
IN,1556130778389,sync-worker-1-16
IN,1556130778475,sync-worker-2-17
OUT,1556130778486,sync-worker-3-17
IN,1556130778486,sync-worker-3-17
IN,1556130778487,sync-worker-1-17
IN,1556130778568,sync-worker-2-18
OUT,1556130778585,sync-worker-3-18
IN,1556130778586,sync-worker-3-18
IN,1556130778667,sync-worker-2-19
OUT,1556130778684,sync-worker-3-19
IN,1556130778685,sync-worker-3-19
IN,1556130778769,sync-worker-2-20
OUT,1556130778784,sync-worker-3-20
IN,1556130778784,sync-worker-3-20
IN,1556130778784,sync-worker-1-20
IN,1556130778861,sync-worker-2-21
OUT,1556130778886,sync-worker-3-21
IN,1556130778886,sync-worker-3-21
IN,1556130778960,sync-worker-2-22
OUT,1556130778985,sync-worker-3-22
IN,1556130778985,sync-worker-3-22
IN,1556130779058,sync-worker-2-23
OUT,1556130779083,sync-worker-3-23
IN,1556130779083,sync-worker-3-23
IN,1556130779083,sync-worker-1-23
IN,1556130779157,sync-worker-2-24
OUT,1556130779183,sync-worker-3-24
IN,1556130779183,sync-worker-3-24
IN,1556130779259,sync-worker-2-25
OUT,1556130779282,sync-worker-3-25
IN,1556130779282,sync-worker-3-25
IN,1556130779355,sync-worker-2-26
OUT,1556130779379,sync-worker-3-26
IN,1556130779379,sync-worker-3-26
IN,1556130779379,sync-worker-1-26
IN,1556130779450,sync-worker-2-27
OUT,1556130779476,sync-worker-3-27
IN,1556130779476,sync-worker-1-27
IN,1556130779550,sync-worker-2-28
OUT,1556130779577,sync-worker-3-28
IN,1556130779578,sync-worker-1-28
IN,1556130779650,sync-worker-2-29
OUT,1556130779680,sync-worker-3-29
IN,1556130779680,sync-worker-3-29
IN,1556130779749,sync-worker-2-30
OUT,1556130779777,sync-worker-3-30
IN,1556130779778,sync-worker-1-30
IN,1556130779843,sync-worker-2-31
OUT,1556130779876,sync-worker-3-31
IN,1556130779877,sync-worker-3-31
IN,1556130779944,sync-worker-2-32
OUT,1556130779972,sync-worker-3-32
IN,1556130779972,sync-worker-3-32
IN,1556130780038,sync-worker-2-33
OUT,1556130780075,sync-worker-3-33
IN,1556130780076,sync-worker-3-33
IN,1556130780076,sync-worker-1-33
IN,1556130780136,sync-worker-2-34
OUT,1556130780169,sync-worker-3-34
IN,1556130780170,sync-worker-3-34
IN,1556130780170,sync-worker-1-34
IN,1556130780239,sync-worker-2-35
OUT,1556130780271,sync-worker-3-35
IN,1556130780271,sync-worker-3-35
IN,1556130780271,sync-worker-1-35
IN,1556130780335,sync-worker-2-36
OUT,1556130780367,sync-worker-3-36
IN,1556130780368,sync-worker-3-36
IN,1556130780368,sync-worker-1-36
IN,1556130780435,sync-worker-2-37
OUT,1556130780466,sync-worker-3-37
IN,1556130780467,sync-worker-1-37
IN,1556130780533,sync-worker-2-38
OUT,1556130780565,sync-worker-3-38
IN,1556130780566,sync-worker-3-38
