Sent_Timestamp,Average_Duration
1562924780631,1.00
1562924777664,0.00
1562924779497,1.00
1562924803410,0.90
1562924785979,0.60
1562924798749,0.20
1562924791577,1.00
1562924797388,0.00
1562924784108,1.00
1562924775281,0.10
1562924777587,0.00
1562924797363,0.00
1562924779064,0.90
1562924781906,1.00
1562924805076,0.70
1562924777029,1.00
1562924779390,0.00
1562924787271,0.00
1562924781199,1.00
1562924800144,0.00
1562924786991,1.00
1562924790574,0.00
1562924798452,0.00
1562924804388,0.00
1562924775773,1.00
1562924802540,1.00
1562924786077,1.80
1562924784205,0.20
1562924797141,0.60
1562924795728,0.00
1562924788488,0.00
1562924776473,0.90
1562924785287,1.00
1562924779400,0.00
1562924795779,0.80
1562924802544,1.00
1562924786934,54.20
1562924775387,0.00
1562924778390,0.00
1562924775582,1.00
1562924783224,1.00
1562924789740,0.00
1562924789004,0.90
1562924780079,0.00
1562924792368,0.00
1562924804752,0.00
1562924801424,0.30
1562924776077,0.20
1562924788788,0.00
1562924789343,1.00
1562924798218,0.00
1562924800531,0.70
1562924779646,1.00
1562924788354,0.00
1562924795680,0.20
1562924789679,1.00
1562924802791,0.00
1562924793088,0.00
1562924792937,0.00
1562924776590,0.00
1562924785383,0.10
1562924803600,1.00
1562924800828,0.40
1562924788388,0.00
1562924789640,1.00
1562924777640,0.00
1562924787951,0.00
1562924797491,0.00
1562924789056,0.00
1562924795288,0.00
1562924775587,0.00
1562924778713,0.90
1562924783429,1.00
1562924804368,0.00
1562924799047,0.00
1562924802830,0.00
1562924801777,0.00
1562924791225,0.00
1562924780477,0.80
1562924781621,0.90
1562924801571,0.30
1562924786537,0.20
1562924802928,0.00
1562924783344,0.00
1562924787310,0.00
1562924790928,0.00
1562924803121,0.00
1562924779693,1.00
1562924785587,0.00
1562924777265,0.70
1562924798056,0.50
1562924776852,0.70
1562924787957,0.20
1562924785647,0.00
1562924786753,0.00
1562924792560,0.00
1562924777803,0.80
1562924793422,0.00
1562924787664,0.00
1562924785369,0.90
1562924797338,0.60
1562924775766,0.00
1562924803492,0.00
1562924788948,0.20
1562924786187,0.00
1562924802641,0.00
1562924783417,1.00
1562924789443,0.20
1562924779010,3.10
1562924792336,0.00
1562924776490,0.00
1562924804887,0.70
1562924803191,0.00
1562924776770,1.00
1562924792258,0.00
1562924793906,0.00
1562924791093,0.00
1562924785185,1.00
1562924784887,0.00
1562924793615,0.30
1562924801788,0.00
1562924799568,0.00
1562924803899,0.90
1562924785087,0.00
1562924786453,1.00
1562924799726,0.00
1562924775863,0.00
1562924790588,0.00
1562924784977,0.30
1562924778454,0.00
1562924804194,1.80
1562924803888,1.00
1562924800568,0.70
1562924799442,0.70
1562924787794,1.00
1562924782017,0.80
1562924786896,0.00
1562924783907,1.00
1562924778948,0.90
1562924794295,1.00
1562924786617,0.10
1562924779695,0.00
1562924777733,1.00
1562924795581,0.00
1562924804964,0.20
1562924790832,0.00
1562924778128,1.00
1562924795472,0.40
1562924799343,1.00
1562924779301,1.00
1562924802691,0.00
1562924791690,0.00
1562924797204,0.00
1562924786387,0.00
1562924790475,1.00
1562924780177,1.00
1562924789297,1.00
1562924797399,0.00
1562924799188,0.00
1562924788377,0.00
1562924801680,0.00
1562924792924,0.00
1562924803391,0.50
1562924794767,1.00
1562924797191,0.00
1562924776243,0.50
1562924781711,0.00
1562924797458,0.00
1562924785787,0.40
1562924776399,1.00
1562924780873,1.00
1562924801254,0.50
1562924803792,0.00
1562924785563,0.00
1562924797824,0.00
1562924797648,0.00
1562924782087,1.00
1562924794002,1.00
1562924800336,0.00
1562924779941,1.10
1562924777537,1.00
1562924792142,1.00
1562924795990,0.00
1562924799788,0.00
1562924802443,1.00
1562924790064,0.00
1562924787187,0.00
1562924777290,0.00
1562924781163,1.00
1562924780379,1.00
1562924784303,0.00
1562924780131,0.90
1562924790448,0.00
1562924781887,0.50
1562924791410,0.80
1562924800696,0.00
1562924789347,0.00
1562924781975,1.00
1562924801278,0.00
