Sent_Timestamp,Average_Duration
1556130245077,0.00
1556130246664,0.00
1556130249295,1.00
1556130245373,0.00
1556130247823,0.00
1556130245374,0.00
1556130247553,0.00
1556130247626,0.67
1556130247953,0.00
1556130247458,1.00
1556130248702,0.00
1556130245865,1.00
1556130246266,1.00
1556130247433,1.00
1556130248315,0.00
1556130246941,0.00
1556130245472,0.00
1556130249536,0.00
1556130245961,1.00
1556130249587,0.00
1556130248212,0.00
1556130247138,1.00
1556130246743,0.00
1556130245970,1.00
1556130249141,1.00
1556130245567,0.00
1556130248448,0.00
1556130249042,1.00
1556130247852,0.00
1556130247330,1.00
1556130246842,1.00
1556130249240,1.00
1556130246364,0.00
1556130248249,0.00
1556130246859,0.00
1556130246563,0.00
1556130246256,0.00
1556130246765,0.00
1556130248019,0.33
1556130249388,1.00
1556130249977,0.00
1556130248344,0.00
1556130246168,1.00
1556130247651,0.00
1556130247161,0.00
1556130249099,1.00
1556130246963,0.00
1556130248842,1.00
1556130249882,0.00
1556130246059,0.00
1556130246068,0.00
1556130245574,0.00
1556130247527,0.00
1556130247722,0.00
1556130247232,0.00
1556130249931,0.00
1556130245762,1.00
1556130248744,0.00
1556130247921,0.00
1556130248507,0.00
1556130249684,0.00
1556130248049,0.00
1556130248939,0.00
1556130249000,1.00
1556130245179,1.00
1556130249782,0.00
1556130246549,0.00
1556130246353,0.00
1556130245771,1.00
1556130245869,0.00
1556130248546,0.00
1556130248413,1.00
1556130248902,0.00
1556130245671,0.00
1556130248115,1.00
1556130249334,0.00
1556130246155,0.00
1556130249731,0.00
1556130248646,1.00
1556130247354,1.00
1556130248609,1.00
1556130249486,1.00
1556130246645,0.00
1556130249192,0.00
1556130248801,1.00
1556130245473,1.00
1556130247259,0.00
1556130248147,1.00
1556130247062,1.00
1556130249433,1.00
1556130249634,1.00
1556130249832,0.00
1556130245275,1.00
1556130246452,0.00
1556130246463,0.00
1556130247753,0.00
1556130247037,1.00
1556130245668,1.00
