Sent_Timestamp,Average_Duration
1556130342233,0.00
1556130342625,0.00
1556130343603,0.00
1556130346789,0.00
1556130344708,0.00
1556130346292,0.00
1556130344117,1.00
1556130344316,0.00
1556130343015,0.00
1556130346447,1.00
1556130342330,0.00
1556130344513,0.00
1556130342035,0.67
1556130345367,0.00
1556130343818,0.00
1556130345698,0.00
1556130343896,0.00
1556130344189,0.00
1556130342929,0.00
1556130344385,0.00
1556130343621,0.00
1556130345464,0.00
1556130346156,-4.67
1556130344288,0.00
1556130344413,0.00
1556130342818,0.00
1556130343124,1.00
1556130343718,0.00
1556130345169,0.00
1556130344584,0.00
1556130344975,1.00
1556130344485,0.00
1556130343421,0.00
1556130343802,1.00
1556130346738,0.67
1556130343410,0.00
1556130346252,-2.00
1556130345566,0.00
1556130346193,1.00
1556130343325,0.00
1556130344682,1.00
1556130342134,1.00
1556130345303,0.00
1556130343310,0.00
1556130345208,0.00
1556130343115,0.00
1556130345953,0.00
1556130342033,0.00
1556130344020,0.00
1556130343995,0.00
1556130345503,1.00
1556130343223,0.00
1556130345006,0.00
1556130345897,0.00
1556130346000,0.50
1556130343210,0.00
1556130346592,0.00
1556130342730,0.00
1556130344907,1.00
1556130342719,0.00
1556130343917,1.00
1556130345798,1.00
1556130346051,0.00
1556130344807,0.00
1556130342525,0.00
1556130345109,0.00
1556130344781,1.00
1556130346835,1.00
1556130345662,1.00
1556130346639,0.00
1556130346391,0.00
1556130342431,1.00
1556130346095,2.00
1556130343026,0.33
1556130346494,0.00
1556130345072,0.00
1556130343520,1.00
1556130342915,1.00
1556130346541,0.00
1556130345758,0.00
1556130344217,0.00
1556130346688,1.00
1556130345604,1.00
1556130341938,0.00
1556130344876,0.00
1556130345859,1.00
1556130343506,0.00
1556130342332,0.00
1556130346349,0.00
1556130342530,0.67
1556130344612,0.00
1556130342828,0.00
1556130343701,0.00
1556130345272,0.67
1556130342630,1.00
1556130345412,-3.33
1556130342429,1.00
1556130344095,0.00
