Direction,Timestamp,Hash
OUT,1562920599800,msg-#6-1
IN,1562920599801,msg-#3-1
IN,1562920599801,msg-#6-1
IN,1562920599801,msg-#2-1
IN,1562920599801,msg-#7-1
IN,1562920599802,msg-#8-1
IN,1562920599802,msg-#5-1
IN,1562920599802,msg-#1-1
IN,1562920599802,msg-#10-1
IN,1562920599802,msg-#9-1
IN,1562920599802,msg-#4-1
OUT,1562920599893,msg-#6-2
IN,1562920599894,msg-#6-2
IN,1562920599895,msg-#8-2
IN,1562920599898,msg-#2-2
IN,1562920599898,msg-#7-2
IN,1562920599898,msg-#10-2
IN,1562920599899,msg-#1-2
IN,1562920599899,msg-#5-2
IN,1562920599899,msg-#3-2
IN,1562920599899,msg-#9-2
IN,1562920599901,msg-#4-2
OUT,1562920599990,msg-#6-3
IN,1562920599991,msg-#6-3
IN,1562920599992,msg-#8-3
IN,1562920599996,msg-#7-3
IN,1562920599996,msg-#2-3
IN,1562920599996,msg-#10-3
IN,1562920599998,msg-#5-3
IN,1562920599999,msg-#9-3
IN,1562920599999,msg-#1-3
IN,1562920599999,msg-#3-3
IN,1562920600001,msg-#4-3
OUT,1562920600089,msg-#6-4
IN,1562920600089,msg-#6-4
IN,1562920600089,msg-#8-4
IN,1562920600093,msg-#7-4
IN,1562920600094,msg-#2-4
IN,1562920600094,msg-#10-4
IN,1562920600098,msg-#3-4
IN,1562920600098,msg-#1-4
IN,1562920600098,msg-#5-4
IN,1562920600098,msg-#9-4
IN,1562920600101,msg-#4-4
OUT,1562920600182,msg-#6-5
IN,1562920600183,msg-#6-5
IN,1562920600187,msg-#8-5
IN,1562920600192,msg-#7-5
IN,1562920600192,msg-#2-5
IN,1562920600192,msg-#10-5
IN,1562920600197,msg-#5-5
IN,1562920600197,msg-#3-5
IN,1562920600197,msg-#1-5
IN,1562920600197,msg-#9-5
IN,1562920600202,msg-#4-5
OUT,1562920600277,msg-#6-6
IN,1562920600277,msg-#6-6
IN,1562920600283,msg-#8-6
IN,1562920600290,msg-#7-6
IN,1562920600290,msg-#10-6
IN,1562920600290,msg-#2-6
IN,1562920600296,msg-#3-6
IN,1562920600296,msg-#5-6
IN,1562920600296,msg-#9-6
IN,1562920600296,msg-#1-6
IN,1562920600302,msg-#4-6
OUT,1562920600376,msg-#6-7
IN,1562920600377,msg-#6-7
IN,1562920600381,msg-#8-7
IN,1562920600388,msg-#2-7
IN,1562920600388,msg-#7-7
IN,1562920600388,msg-#10-7
IN,1562920600395,msg-#3-7
IN,1562920600395,msg-#5-7
IN,1562920600395,msg-#1-7
IN,1562920600395,msg-#9-7
IN,1562920600401,msg-#4-7
OUT,1562920600471,msg-#6-8
IN,1562920600471,msg-#6-8
IN,1562920600477,msg-#8-8
IN,1562920600485,msg-#2-8
IN,1562920600485,msg-#7-8
IN,1562920600485,msg-#10-8
IN,1562920600494,msg-#3-8
IN,1562920600494,msg-#5-8
IN,1562920600494,msg-#9-8
IN,1562920600494,msg-#1-8
IN,1562920600501,msg-#4-8
OUT,1562920600568,msg-#6-9
IN,1562920600568,msg-#6-9
IN,1562920600574,msg-#8-9
IN,1562920600585,msg-#7-9
IN,1562920600585,msg-#10-9
IN,1562920600585,msg-#2-9
IN,1562920600593,msg-#5-9
IN,1562920600593,msg-#9-9
IN,1562920600593,msg-#3-9
IN,1562920600593,msg-#1-9
IN,1562920600601,msg-#4-9
OUT,1562920600662,msg-#6-10
IN,1562920600662,msg-#6-10
IN,1562920600672,msg-#8-10
IN,1562920600683,msg-#7-10
IN,1562920600683,msg-#2-10
IN,1562920600683,msg-#10-10
IN,1562920600691,msg-#3-10
IN,1562920600691,msg-#9-10
IN,1562920600692,msg-#5-10
IN,1562920600692,msg-#1-10
IN,1562920600702,msg-#4-10
OUT,1562920600762,msg-#6-11
IN,1562920600762,msg-#6-11
IN,1562920600769,msg-#8-11
IN,1562920600780,msg-#10-11
IN,1562920600780,msg-#2-11
IN,1562920600780,msg-#7-11
IN,1562920600791,msg-#3-11
IN,1562920600791,msg-#5-11
IN,1562920600791,msg-#1-11
IN,1562920600791,msg-#9-11
IN,1562920600801,msg-#4-11
OUT,1562920600854,msg-#6-12
IN,1562920600854,msg-#6-12
IN,1562920600866,msg-#8-12
IN,1562920600878,msg-#7-12
IN,1562920600878,msg-#10-12
IN,1562920600878,msg-#2-12
IN,1562920600889,msg-#3-12
IN,1562920600889,msg-#1-12
