Sent_Timestamp,Average_Duration
1556131808358,0.00
1556131804532,1.00
1556131805707,0.00
1556131808160,0.00
1556131808258,0.00
1556131806200,1.00
1556131805329,0.00
1556131806494,1.00
1556131808456,0.00
1556131805824,1.00
1556131808400,0.00
1556131806002,1.00
1556131808204,0.00
1556131806125,1.00
1556131806883,0.67
1556131808597,0.00
1556131805119,1.00
1556131807473,0.00
1556131808748,0.00
1556131807178,1.00
1556131804933,0.00
1556131808497,0.00
1556131806100,1.00
1556131807709,0.00
1556131805514,0.00
1556131805725,1.00
1556131806692,1.00
1556131805907,0.67
1556131808699,0.00
1556131806789,0.00
1556131804043,0.00
1556131805315,0.00
1556131806989,-2.67
1556131806817,1.00
1556131806295,0.00
1556131804826,0.00
1556131807509,0.00
1556131805131,0.33
1556131805034,1.00
1556131805023,0.00
1556131805814,-3.33
1556131807570,0.00
1556131808003,0.00
1556131808943,0.00
1556131807313,0.00
1556131808304,1.00
1556131805923,1.00
1556131806225,0.67
1556131805232,0.00
1556131805217,1.00
1556131807667,1.00
1556131806394,0.00
1556131804142,1.00
1556131807766,0.00
1556131806719,0.00
1556131807084,0.00
1556131807865,0.00
1556131808062,0.67
1556131804538,1.00
1556131807113,0.00
1556131806023,1.00
1556131807962,0.67
1556131806519,0.00
1556131804239,0.00
1556131804925,0.00
1556131807374,0.00
1556131807907,0.00
1556131808647,1.00
1556131805531,0.00
1556131806418,1.00
1556131808105,0.50
1556131807412,0.00
1556131804634,0.00
1556131808797,1.00
1556131805414,0.00
1556131808847,1.00
1556131806617,0.00
1556131807017,0.00
1556131804439,0.00
1556131804637,0.00
1556131808896,1.00
1556131804735,0.00
1556131807211,0.00
1556131804436,0.33
1556131808551,0.00
1556131804340,0.00
1556131805609,1.00
1556131804835,0.00
1556131807807,0.50
1556131806913,0.00
1556131806594,1.00
1556131804240,0.00
1556131804732,0.00
1556131805630,0.33
1556131807280,0.00
1556131805429,1.00
1556131807607,1.00
1556131806319,1.00
