Direction,Timestamp,Hash
OUT,1556138468006,msg-#1-1
IN,1556138468008,msg-#2-1
IN,1556138468008,msg-#1-1
IN,1556138468101,msg-#2-2
OUT,1556138468102,msg-#1-2
IN,1556138468102,msg-#3-2
IN,1556138468201,msg-#2-3
OUT,1556138468201,msg-#1-3
IN,1556138468201,msg-#3-3
IN,1556138468300,msg-#2-4
OUT,1556138468300,msg-#1-4
IN,1556138468300,msg-#3-4
IN,1556138468300,msg-#1-4
IN,1556138468394,msg-#2-5
OUT,1556138468399,msg-#1-5
IN,1556138468399,msg-#1-5
IN,1556138468399,msg-#3-5
IN,1556138468495,msg-#2-6
OUT,1556138468499,msg-#1-6
IN,1556138468499,msg-#1-6
IN,1556138468499,msg-#3-6
IN,1556138468591,msg-#2-7
OUT,1556138468598,msg-#1-7
IN,1556138468598,msg-#1-7
IN,1556138468692,msg-#2-8
OUT,1556138468696,msg-#1-8
IN,1556138468696,msg-#3-8
IN,1556138468792,msg-#2-9
OUT,1556138468796,msg-#1-9
IN,1556138468796,msg-#3-9
IN,1556138468887,msg-#2-10
OUT,1556138468894,msg-#1-10
IN,1556138468894,msg-#1-10
IN,1556138468894,msg-#3-10
IN,1556138468983,msg-#2-11
OUT,1556138468993,msg-#1-11
IN,1556138468993,msg-#1-11
IN,1556138468993,msg-#3-11
IN,1556138469082,msg-#2-12
OUT,1556138469094,msg-#1-12
IN,1556138469095,msg-#3-12
IN,1556138469183,msg-#2-13
OUT,1556138469193,msg-#1-13
IN,1556138469194,msg-#3-13
IN,1556138469281,msg-#2-14
OUT,1556138469292,msg-#1-14
IN,1556138469293,msg-#3-14
IN,1556138469378,msg-#2-15
OUT,1556138469389,msg-#1-15
IN,1556138469389,msg-#3-15
IN,1556138469473,msg-#2-16
OUT,1556138469492,msg-#1-16
IN,1556138469493,msg-#1-16
IN,1556138469493,msg-#3-16
IN,1556138469573,msg-#2-17
OUT,1556138469591,msg-#1-17
IN,1556138469591,msg-#3-17
IN,1556138469591,msg-#1-17
IN,1556138469669,msg-#2-18
OUT,1556138469687,msg-#1-18
IN,1556138469687,msg-#3-18
IN,1556138469767,msg-#2-19
OUT,1556138469785,msg-#1-19
IN,1556138469785,msg-#1-19
IN,1556138469864,msg-#2-20
OUT,1556138469886,msg-#1-20
IN,1556138469886,msg-#3-20
IN,1556138469968,msg-#2-21
OUT,1556138469986,msg-#1-21
IN,1556138469987,msg-#1-21
IN,1556138469987,msg-#3-21
IN,1556138470060,msg-#2-22
OUT,1556138470083,msg-#1-22
IN,1556138470083,msg-#3-22
IN,1556138470163,msg-#2-23
OUT,1556138470182,msg-#1-23
IN,1556138470182,msg-#3-23
IN,1556138470260,msg-#2-24
OUT,1556138470281,msg-#1-24
IN,1556138470281,msg-#3-24
IN,1556138470354,msg-#2-25
OUT,1556138470383,msg-#1-25
IN,1556138470383,msg-#3-25
IN,1556138470455,msg-#2-26
OUT,1556138470483,msg-#1-26
IN,1556138470483,msg-#3-26
IN,1556138470551,msg-#2-27
OUT,1556138470582,msg-#1-27
IN,1556138470582,msg-#1-27
IN,1556138470649,msg-#2-28
OUT,1556138470681,msg-#1-28
IN,1556138470681,msg-#3-28
IN,1556138470746,msg-#2-29
OUT,1556138470777,msg-#1-29
IN,1556138470778,msg-#1-29
IN,1556138470849,msg-#2-30
OUT,1556138470877,msg-#1-30
IN,1556138470877,msg-#3-30
IN,1556138470943,msg-#2-31
OUT,1556138470974,msg-#1-31
IN,1556138470974,msg-#3-31
IN,1556138471042,msg-#2-32
OUT,1556138471074,msg-#1-32
IN,1556138471075,msg-#1-32
IN,1556138471075,msg-#3-32
IN,1556138471144,msg-#2-33
OUT,1556138471175,msg-#1-33
IN,1556138471176,msg-#3-33
IN,1556138471237,msg-#2-34
OUT,1556138471273,msg-#1-34
IN,1556138471273,msg-#1-34
IN,1556138471274,msg-#3-34
IN,1556138471337,msg-#2-35
OUT,1556138471369,msg-#1-35
IN,1556138471369,msg-#3-35
IN,1556138471435,msg-#2-36
OUT,1556138471468,msg-#1-36
IN,1556138471468,msg-#3-36
IN,1556138471531,msg-#2-37
OUT,1556138471567,msg-#1-37
IN,1556138471568,msg-#1-37
IN,1556138471629,msg-#2-38
