Direction,Timestamp,Hash
OUT,1556139769489,msg-#2-1
IN,1556139769491,msg-#3-1
IN,1556139769491,msg-#2-1
OUT,1556139769580,msg-#2-2
IN,1556139769581,msg-#3-2
IN,1556139769581,msg-#1-2
OUT,1556139769678,msg-#2-3
IN,1556139769678,msg-#2-3
IN,1556139769678,msg-#3-3
OUT,1556139769773,msg-#2-4
IN,1556139769773,msg-#2-4
IN,1556139769776,msg-#1-4
IN,1556139769776,msg-#3-4
OUT,1556139769869,msg-#2-5
IN,1556139769870,msg-#2-5
IN,1556139769874,msg-#1-5
OUT,1556139769969,msg-#2-6
IN,1556139769969,msg-#2-6
IN,1556139769975,msg-#3-6
OUT,1556139770070,msg-#2-7
IN,1556139770071,msg-#2-7
IN,1556139770073,msg-#3-7
OUT,1556139770169,msg-#2-8
IN,1556139770169,msg-#2-8
IN,1556139770172,msg-#3-8
OUT,1556139770264,msg-#2-9
IN,1556139770264,msg-#2-9
IN,1556139770273,msg-#1-9
OUT,1556139770365,msg-#2-10
IN,1556139770365,msg-#2-10
IN,1556139770371,msg-#1-10
IN,1556139770371,msg-#3-10
OUT,1556139770460,msg-#2-11
IN,1556139770461,msg-#2-11
IN,1556139770471,msg-#1-11
OUT,1556139770556,msg-#2-12
IN,1556139770557,msg-#2-12
IN,1556139770568,msg-#1-12
OUT,1556139770657,msg-#2-13
IN,1556139770658,msg-#2-13
IN,1556139770669,msg-#1-13
IN,1556139770669,msg-#3-13
OUT,1556139770751,msg-#2-14
IN,1556139770752,msg-#2-14
IN,1556139770766,msg-#1-14
OUT,1556139770853,msg-#2-15
IN,1556139770853,msg-#2-15
IN,1556139770865,msg-#1-15
OUT,1556139770953,msg-#2-16
IN,1556139770953,msg-#2-16
IN,1556139770967,msg-#1-16
OUT,1556139771046,msg-#2-17
IN,1556139771046,msg-#2-17
IN,1556139771065,msg-#1-17
OUT,1556139771144,msg-#2-18
IN,1556139771145,msg-#2-18
IN,1556139771166,msg-#1-18
OUT,1556139771242,msg-#2-19
IN,1556139771242,msg-#2-19
IN,1556139771263,msg-#1-19
OUT,1556139771341,msg-#2-20
IN,1556139771342,msg-#2-20
IN,1556139771364,msg-#1-20
IN,1556139771364,msg-#3-20
OUT,1556139771441,msg-#2-21
IN,1556139771441,msg-#2-21
IN,1556139771463,msg-#1-21
IN,1556139771463,msg-#3-21
OUT,1556139771537,msg-#2-22
IN,1556139771537,msg-#2-22
IN,1556139771558,msg-#1-22
IN,1556139771559,msg-#3-22
OUT,1556139771639,msg-#2-23
IN,1556139771639,msg-#2-23
IN,1556139771659,msg-#3-23
OUT,1556139771732,msg-#2-24
IN,1556139771732,msg-#2-24
IN,1556139771761,msg-#3-24
IN,1556139771761,msg-#1-24
OUT,1556139771830,msg-#2-25
IN,1556139771830,msg-#2-25
IN,1556139771856,msg-#1-25
OUT,1556139771933,msg-#2-26
IN,1556139771933,msg-#2-26
IN,1556139771954,msg-#1-26
IN,1556139771954,msg-#3-26
OUT,1556139772026,msg-#2-27
